angle,x,y,z,xwf
0.0,25.794620495792095,-0.00535226980677815,0.0,-1.0
0.0,25.68861858849176,-0.00535226980677815,0.0,-1.0
0.0,25.575442962891845,-0.00535226980677815,0.0,-1.0
0.0,25.463275565134346,-0.00535226980677815,0.0,-1.0
0.0,25.352109695154322,-0.00535226980677815,0.0,-1.0
0.0,25.241938667800163,-0.00535226980677815,0.0,-1.0
0.0,25.140460910806496,-0.00535226980677815,0.0,-1.0
0.0,25.032180761160653,-0.00535226980677815,0.0,-1.0
0.0,24.9248763080939,-0.00535226980677815,0.0,-1.0
0.0,24.818540932682215,-0.00535226980677815,0.0,-1.0
0.0,24.720568616395187,-0.00535226980677815,0.0,-1.0
0.0,24.616075882146724,-0.00535226980677815,0.0,-1.0
0.0,24.512533275464104,-0.00535226980677815,0.0,-1.0
0.0,24.41711563903189,-0.00535226980677815,0.0,-1.0
0.0,24.315380161775384,-0.00535226980677815,0.0,-1.0
0.0,24.214576048043938,-0.00535226980677815,0.0,-1.0
0.0,24.121665261874377,-0.00535226980677815,0.0,-1.0
0.0,24.02263308944288,-0.00535226980677815,0.0,-1.0
0.0,23.931345344965802,-0.00535226980677815,0.0,-1.0
0.0,23.83406231214279,-0.00535226980677815,0.0,-1.0
0.0,23.744377425972445,-0.00535226980677815,0.0,-1.0
0.0,23.64882089930951,-0.00535226980677815,0.0,-1.0
0.0,23.560718802115268,-0.00535226980677815,0.0,-1.0
0.0,23.46686633274294,-0.00535226980677815,0.0,-1.0
0.0,23.38032708613148,-0.00535226980677815,0.0,-1.0
0.0,23.28815642448891,-0.00535226980677815,0.0,-1.0
0.0,23.203160236339052,-0.00535226980677815,0.0,-1.0
0.0,23.118898079526044,-0.00535226980677815,0.0,-1.0
0.0,23.029176583744334,-0.00535226980677815,0.0,-1.0
0.0,22.94642863329484,-0.00535226980677815,0.0,-1.0
0.0,22.864401160915744,-0.00535226980677815,0.0,-1.0
0.0,22.777081730549067,-0.00535226980677815,0.0,-1.0
0.0,22.696539975036274,-0.00535226980677815,0.0,-1.0
0.0,22.616705307182553,-0.00535226980677815,0.0,-1.0
0.0,22.537573460667893,-0.00535226980677815,0.0,-1.0
0.0,22.453364521229396,-0.00535226980677815,0.0,-1.0
0.0,22.375681358356694,-0.00535226980677815,0.0,-1.0
0.0,22.298687865391802,-0.00535226980677815,0.0,-1.0
0.0,22.222379852898843,-0.00535226980677815,0.0,-1.0
0.0,22.146753150694447,-0.00535226980677815,0.0,-1.0
0.0,22.071803608352177,-0.00535226980677815,0.0,-1.0
0.0,21.997527095679214,-0.00535226980677815,0.0,-1.0
0.0,21.918529003048068,-0.00535226980677815,0.0,-1.0
0.0,21.84563888171595,-0.00535226980677815,0.0,-1.0
0.0,21.773409104626225,-0.00535226980677815,0.0,-1.0
0.0,21.701835631608514,-0.00535226980677815,0.0,-1.0
0.0,21.6309144446567,-0.00535226980677815,0.0,-1.0
0.0,21.560641548252903,-0.00535226980677815,0.0,-1.0
0.0,21.491012969669207,-0.00535226980677815,0.0,-1.0
0.0,21.422024759246113,-0.00535226980677815,0.0,-1.0
0.0,21.35367299065069,-0.00535226980677815,0.0,-1.0
0.0,21.28595376111233,-0.00535226980677815,0.0,-1.0
0.0,21.223745654269365,-0.00535226980677815,0.0,-1.0
0.0,21.157217188580262,-0.02972353323533513,0.0,-1.0
0.0,21.091216198869198,-0.07703910228091827,0.0,-1.0
0.0,21.025725661992965,-0.12431688465823376,0.0,-1.0
0.0,20.960741036665578,-0.17155714002627534,0.0,-1.0
0.0,20.896257810352704,-0.21876012287947144,0.0,-1.0
0.0,20.832271499475514,-0.2659260825074753,0.0,-1.0
0.0,20.773424938193482,-0.3066820292536765,0.0,-1.0
0.0,20.71038775559102,-0.35378655700741124,0.0,-1.0
0.0,20.647834606960355,-0.40085470448835436,0.0,-1.0
0.0,20.585761121974762,-0.447886701200882,0.0,-1.0
0.0,20.52868854078828,-0.4885550505386699,0.0,-1.0
0.0,20.467531538796177,-0.5355270225968572,0.0,-1.0
0.0,20.406841645910816,-0.5824634320276675,0.0,-1.0
0.0,20.351053083351815,-0.6230698115241163,0.0,-1.0
0.0,20.29125590969486,-0.6699471343820587,0.0,-1.0
0.0,20.231913537321375,-0.7167894417553726,0.0,-1.0
0.0,20.1773763038154,-0.7573347456957171,0.0,-1.0
0.0,20.118903349162835,-0.8041188329073253,0.0,-1.0
0.0,20.06087313753968,-0.8508684102668719,0.0,-1.0
0.0,20.007555160668897,-0.8913534500568523,0.0,-1.0
0.0,19.950371533279256,-0.9380456009753693,0.0,-1.0
0.0,19.897840462001543,-0.9784940311452767,0.0,-1.0
0.0,19.841488676269368,-1.025129208314997,0.0,-1.0
0.0,19.789731118870712,-1.0655412630255037,0.0,-1.0
0.0,19.734196633736566,-1.1121198893776798,0.0,-1.0
0.0,19.683199374926144,-1.152495781078676,0.0,-1.0
0.0,19.628467851556916,-1.1990182496904573,0.0,-1.0
0.0,19.578217853527306,-1.239358168956846,0.0,-1.0
0.0,19.524275155729825,-1.285824843018938,0.0,-1.0
0.0,19.474759558925744,-1.326128958444259,0.0,-1.0
0.0,19.421591753281657,-1.372540171285403,0.0,-1.0
0.0,19.37279787689475,-1.4128086294296123,0.0,-1.0
0.0,19.324349073484218,-1.453063806916275,0.0,-1.0
0.0,19.27230657483992,-1.4993976099814148,0.0,-1.0
0.0,19.224561070232788,-1.5396172714077814,0.0,-1.0
0.0,19.17715191470576,-1.5798236566125186,0.0,-1.0
0.0,19.126205356827143,-1.626080515190307,0.0,-1.0
0.0,19.079481465071567,-1.6662514813004397,0.0,-1.0
0.0,19.033085380101298,-1.706409157249797,0.0,-1.0
0.0,18.98320603682454,-1.752589450700702,0.0,-1.0
0.0,18.937477566573605,-1.7927117605060792,0.0,-1.0
0.0,18.892068542194725,-1.8328207479299656,0.0,-1.0
0.0,18.846976294167693,-1.8729163885344753,0.0,-1.0
0.0,18.79846964955053,-1.9189984012269545,0.0,-1.0
0.0,18.75402224081765,-1.95905865916173,0.0,-1.0
0.0,18.709883485887158,-1.9991055147109156,0.0,-1.0
0.0,18.66605079135776,-2.0391389366940773,0.0,-1.0
0.0,18.622521582216027,-2.0791588924379405,0.0,-1.0
0.0,18.579293301795566,-2.1191653477840506,0.0,-1.0
0.0,18.536363411732463,-2.1591582670969043,0.0,-1.0
