maxHorizontal,standardHorizontal,halfHorizontal,maxVertical,standardVertical,halfVertical,maxArea,standardArea,halfArea
107.92134967989642,46.2069925309851,33.23159803541349,879.1322573845766,376.4042774780482,270.70611963271324,298065.32527643826,54640.180506415876,28261.757940394717
112.6868579333707,48.247365496369284,34.69901347437555,888.5771745294544,380.4481595946414,273.6144384312395,314570.7192117225,57665.88536865375,29826.755303564136
117.09370323347578,50.13417536736456,36.05598790113832,899.6809237433918,385.2022778346018,277.0335518101777,330957.27045311185,60669.80444873041,31380.48431995513
120.54630024087149,51.61241970554627,37.119126161254236,899.244242652768,385.0153109373871,276.89908712347466,340550.42325046,62428.38404864392,32290.08144264099
121.8577632950231,52.17392828311306,37.522957406722625,887.7793395121107,380.1065630820264,273.3687657012969,339866.3042153032,62302.973997896916,32225.215103169645
123.16417426341572,52.733273788316275,37.92523299259556,877.1290514223974,375.54659618322574,270.08928398791517,339389.0043318232,62215.477232666504,32179.958803197886
124.56566974481314,53.33333013891993,38.35678740351045,864.3068297710635,370.0567065383023,266.14101131432494,338233.1614208319,62003.59258880513,32070.364865904907
125.86170775750523,53.888234418286,38.75586890503121,855.1985786815179,366.15696944908603,263.33636015020244,338150.834317782,61988.50070326948,32062.5588299087
127.15279735003362,54.44102001016138,39.15342666810468,846.6775197731447,362.50864123133186,260.7125196837976,338215.7443592024,62000.399760553635,32068.71342664625
128.53794523692414,55.03407706748785,39.579947258639166,836.2154706436746,358.0292696573283,257.49100130649305,337675.4007250777,61901.34605923269,32017.47948664299
129.8188761928194,55.58251319516153,39.97437693139333,828.8267572728578,354.8657600778839,255.2158374629518,338027.0700281513,61965.81271324783,32050.82383056933
131.09496083146848,56.12887435115018,40.36731430566202,821.8733000409137,351.8886072964003,253.07469952894905,338486.02495205804,62049.946551571076,32094.340710478034
132.36623193226848,56.67317457009439,40.75876947501572,815.3183486953429,349.0820765333572,251.05627121144,339042.61955511186,62151.97931754796,32147.11552394501
133.73023865812223,57.25717994790592,41.178780189907805,807.0771489949622,345.55357124565154,248.51860617495797,339074.04210591974,62157.739577808105,32150.094926275615
134.99162971762613,57.79724998444666,41.56719305519563,801.3069661662578,343.08304251654295,246.7418270953495,339825.2393719657,62295.44614993154,32221.321444418198
136.2483071712688,58.3353018702557,41.95415448704844,795.841052232515,340.7427878305092,245.05873977962312,340649.1625003232,62446.48454534072,32299.443634557345
137.5003030859844,58.87134933492953,42.33967435965209,790.6560661278827,338.52281360927657,243.46215694814984,341539.6550598626,62609.726190935435,32383.877760338615
138.74764935069786,59.40540603184929,42.72376249237912,785.7309196882488,336.4140908641925,241.94558504432433,342491.1473404876,62784.150069042,32474.095716728665
139.99037767439,59.9374855373522,43.10642864919289,781.0465172586324,334.4084437080049,240.50314405337252,343498.5895133998,62968.83046461183,32569.61869245013
141.228519584266,60.4676013499475,43.48768253808363,776.5855304512875,332.4984529165701,239.1294981449153,344557.39377466525,63162.926359204226,32670.011684189074
142.55719718582725,61.036480410425604,43.89681455973371,770.772030803727,330.0093779041609,237.3393807674013,345195.37453877175,63279.87852087573,32730.503316045557
143.78592754764293,61.562566628022154,44.27517040497545,766.7645413221547,328.29355395373534,236.10537767183433,346360.4354436895,63493.452971666455,32840.97127889922
145.01016743777654,62.08673023075067,44.65214352520152,762.9343360300205,326.653634995617,234.92596467302684,347564.56086903636,63714.1885789777,32955.14323522949
146.22994761912884,62.608984389880106,45.0277433930543,759.2696590571894,325.08458770317355,233.79752185377026,348804.6312473612,63941.51347579179,33072.72339598373
147.4452986651969,63.12934219558547,45.401979422854225,755.7597411437882,323.58180117122276,232.71673309805686,350077.78768057714,64174.903579988946,33193.44068808215
148.65625095879386,63.64781665639957,45.77486097020548,752.3947012619126,322.14104479494057,231.6805557980202,351381.4065651639,64413.87794273756,33317.0463484472
149.86283469085018,64.16442069869983,46.14639733162697,749.1654596869499,320.75843105097215,230.6861940864895,352713.0771437453,64657.99463333646,33443.31179550418
151.06507985929528,64.67916716622945,46.51659774420787,746.0636609958217,319.43038252879654,229.731075126283,354070.5815947455,64906.84708932784,33572.02674133558
152.26301626801586,65.1920688196514,46.88547138528693,743.0816056965442,318.1536026576274,228.81282805729344,355451.8773297148,65160.06087131161,33702.997513160844
153.45667352588993,65.70313833613483,47.25302737215496,740.2121893831053,316.9250496553102,227.9292652608005,356855.08121623576,65417.29077074958,33836.04555739442
154.55420735987218,66.17305219302915,47.59098462815061,738.5920523311497,316.23138097083836,227.43038581356822,358620.6843240519,65740.95429123554,34003.45532773799
155.73970316718783,66.68062734916484,47.95602750667495,735.8974162503183,315.07766088088385,226.6006420848666,360053.0493801586,66003.52990329027,34139.26835617537
156.92100520658,67.18640692542972,48.31977902245874,733.2985701329058,313.964953677975,225.8003944064794,361502.90561620356,66269.31193067765,34276.73985157146
158.09814231828815,67.690403269897,48.68224805611039,730.7902124363956,312.8909894837589,225.02801030503232,362968.8552741683,66538.04414181366,34415.737282244685
159.2711431436283,68.19262864547002,49.043443426984936,728.3674235608736,311.8536619502593,224.2819749165311,364449.6046602122,66809.48938175615,34556.137983600835
160.44003612442907,68.69309522964065,49.403373893010446,726.0256336169153,310.85101445955826,223.5608810613132,365943.9556882073,67083.42802199844,34697.82835631363
161.60484950252516,69.19181511427254,49.762048150532,723.7605933534145,309.8812276764204,222.863420292022,367450.7982362911,67359.6565593021,34840.70314159345
162.67582945461538,69.65035981181246,50.091828823007035,722.5241308867027,309.351830924678,222.48268354436718,369254.0426630167,67690.22034052051,35011.68196124723
163.83286105515802,70.14574789473548,50.44810688270096,720.377711434094,308.43283215465493,221.8217489964204,370775.60775624024,67969.14775775325,35155.95269892983
164.98589444250428,70.63942412538967,50.80315379569227,718.2978905340638,307.54234784289895,221.18132175620838,372307.0664462491,68249.88883081364,35301.16152103151
166.13495707337614,71.13140025948931,51.1569780165708,716.2814103606069,306.67898313711856,220.56039866018094,373847.58227084106,68532.29022269185,35447.22911644063
167.19143323524025,71.5837350965277,51.482292620670904,715.1974920029925,306.2148988053062,220.22663393920325,375655.60770923586,68863.73044044431,35618.66125884968
168.33292114143427,72.07246807950244,51.8337844003182,713.2787148576007,305.3933660734721,219.63579597244015,377205.65672490984,69147.8794199731,35765.63276597181
