ricochetAngle0Radians,ricochetAngle0Degrees,ricochetAngle1Radians,ricochetAngle1Degrees,armorRadians,armorDegrees,fuseRadians,fuseDegrees
0.7493239264626109,42.93309847447887,1.0266266214666768,58.82137254581534,1.1780426015765917,67.49686915695028,0.0,0.0
0.7488806357821911,42.90769978939333,1.0263771087870852,58.80707652233974,1.1747524250674721,67.30835592912464,0.0,0.0
0.7483560317122953,42.87764219027291,1.0260819327056774,58.79016417866186,1.1711763260694261,67.10346054941564,0.0,0.0
0.7478225060101326,42.84707341927724,1.025781853633214,58.77297091428951,1.1675815550648831,66.89749534253933,0.0,0.0
0.7472799261486202,42.81598588316378,1.0254768031143497,58.75549280702032,1.1639680553562415,66.69045705996241,0.0,0.0
0.7467281579481743,42.78437189400871,1.0251667119982404,58.73772589480275,1.1603357681843334,66.48234233503257,0.0,0.0
0.7462451688410311,42.75669865661861,1.0248953782153556,58.72217961420413,1.1569594438652129,66.28889320127958,0.0,0.0
0.7456756083041025,42.7240652416754,1.0245755349554455,58.703853945305575,1.1532907032692798,66.0786898490043,0.0,0.0
0.7450964602870556,42.69088250458523,1.0242504462102042,58.685227732236044,1.1496029981884743,65.8673999117852,0.0,0.0
0.7445075839742431,42.65714237720586,1.0239200400841921,58.666296855690284,1.1458962613511767,65.65501953524237,0.0,0.0
0.7439908773615104,42.62753726904977,1.0236302460311637,58.64969287952377,1.142450429906996,65.45758793657735,0.0,0.0
0.7433831622584096,42.59271775849574,1.023289552723322,58.63017259087608,1.1387067729030762,65.24309219030816,0.0,0.0
0.7427653000025616,42.557316858915215,1.0229433291057268,58.61033543882013,1.134943881253616,65.02749438002907,0.0,0.0
0.7422222451714932,42.5262021090508,1.0226391563359984,58.59290762287189,1.1314456800526855,64.82706221532816,0.0,0.0
0.7415847323883472,42.4896753171909,1.0222822340391156,58.57245748164639,1.127645479280586,64.60932674978449,0.0,0.0
0.740936638330838,42.452542262968116,1.0219195624490884,58.55167793018853,1.1238258201556341,64.39047640274612,0.0,0.0
0.7403660963367947,42.419852614674454,1.0216004348253434,58.5333932642219,1.1202747266275837,64.1870137309326,0.0,0.0
0.7396975104380267,42.38154546443309,1.0212266414506772,58.511976481443575,1.1164173283605605,63.966001090331105,0.0,0.0
0.7391083295936561,42.3477878886807,1.0208973979389793,58.49311221779122,1.1128310978052078,63.76052521514854,0.0,0.0
0.738418683729758,42.30827409132068,1.0205121989370218,58.47104194070641,1.1089356585769417,63.53733298801919,0.0,0.0
0.7378103446924458,42.27341883196964,1.0201725802247292,58.451583221848374,1.1053140308418627,63.32982900383164,0.0,0.0
0.7370990572508092,42.23266506354321,1.0197756866835406,58.428842897022264,1.1013802290129189,63.10443876159231,0.0,0.0
0.736471028347145,42.19668165795102,1.0194254288465274,58.408774601220024,1.0977229255561336,62.89489070911991,0.0,0.0
0.7357375038937132,42.15465380259974,1.0190165467580565,58.38534738323215,1.09375041871732,62.66728283316903,0.0,0.0
0.7350892408155857,42.11751106420887,1.0186553812382066,58.364654123239106,1.090057141720926,62.455673648702906,0.0,0.0
0.734332869745576,42.074174194151524,1.0182342114721397,58.34052287318495,1.0860455656831218,62.22582727254091,0.0,0.0
0.7336638152309642,42.0358401942001,1.0178618650555116,58.31918899499534,1.0823159971099492,62.012138733893494,0.0,0.0
0.7329847228244669,41.99693106540842,1.0174841273418305,58.297546218238494,1.07856888111006,61.7974448017539,0.0,0.0
0.7321935568987258,41.95160059696889,1.0170442981292072,58.27234586064862,1.0744987654162448,61.56424435036833,0.0,0.0
0.7314928269702113,41.91145172948651,1.016654967929866,58.25003888338938,1.0707148551924994,61.34744226449131,0.0,0.0
0.7307816505593814,41.870704322656685,1.0162600484236466,58.22741166243562,1.06691315539831,61.12962091130851,0.0,0.0
0.7299542843113229,41.82329972853137,1.0158008809051635,58.201103301537046,1.0627835970267505,60.893014645365234,0.0,0.0
0.7292205942603788,41.781262385141524,1.0153939470793332,58.17778771077585,1.0589445506406305,60.67305349008561,0.0,0.0
0.7284760346103984,41.73860225960192,1.0149812210535407,58.15414025140274,1.0550874480073358,60.45205778804902,0.0,0.0
0.7277204660040913,41.69531136732794,1.0145626364304525,58.13015711913071,1.0512121995145363,60.230022404847176,0.0,0.0
0.7268430317987175,41.6450380905596,1.0140768471409474,58.102323443109405,1.0470024047334763,59.988818931276235,0.0,0.0
0.726063743270794,41.60038814688662,1.013645674649849,58.07761907912733,1.0430890001726818,59.764597366415465,0.0,0.0
0.7252730025320065,41.55508203986504,1.013208434169965,58.0525670449977,1.0391571476435133,59.53931881082627,0.0,0.0
0.7244706635656701,41.50911140335508,1.0127650572039053,58.02716341610916,1.0352067455185794,59.31297744168805,0.0,0.0
0.7236565786759507,41.46246777500878,1.0123154747406407,58.001404238421,1.0312376890474817,59.08556725724506,0.0,0.0
0.7228305984635052,41.41514259487433,1.01185961725467,57.97528552841545,1.0272498702750925,58.85708207212412,0.0,0.0
0.7219925718003986,41.367127203958894,1.0113974147051803,57.94880327304949,1.02324317795695,58.627515512487065,0.0,0.0
0.7210221861247681,41.31152820024532,1.0108625936865183,57.91816028588528,1.0188895894128873,58.37807326317577,0.0,0.0
0.7201582137429293,41.26202622915009,1.010386767520358,57.8908974547824,1.0148430965657445,58.14622630120461,0.0,0.0
0.7192817139372824,41.21180648954248,1.0099043755399832,57.863258430235966,1.0107773572634764,57.91327659858418,0.0,0.0
0.7183925281925032,41.16085989916344,1.0094153455784245,57.83523907738321,1.0066922458111431,57.67921695352493,0.0,0.0
0.7174904961237824,41.10917726864028,1.0089196049486977,57.8068352315667,1.0025876327426515,57.444039948166115,0.0,0.0
0.7165754554466557,41.05674929975813,1.00841708044284,57.778042698279165,0.9984633847155227,57.20773794254648,0.0,0.0
0.7156472419458824,41.00356658367676,1.007907698330918,57.74885725310657,0.9943193644017485,56.97030306835074,0.0,0.0
0.7147056894433284,40.94961959909043,1.0073913843600018,57.71927464166943,0.9901554303745052,56.73172722241878,0.0,0.0
0.7137506297648225,40.894898710328924,1.0068680637531033,57.68929057956193,0.9859714369905852,56.49200206000951,0.0,0.0
0.7127818927059343,40.83939416539671,1.0063376612080779,57.65890075228897,0.9817672342682696,56.251118987803416,0.0,0.0
0.7119341781645582,40.79082369994399,1.005873862308368,57.63232703279279,0.9778885201025244,56.0288850361686,0.0,0.0
0.7109391391385084,40.733812163300534,1.005329867013663,57.60115839833121,0.973645341062408,55.785768785451566,0.0,0.0
0.7099299187776834,40.67598809602659,1.0047785688135424,57.56957133821114,0.969381498352618,55.541468593672974,0.0,0.0
0.7089063386397708,40.61734127413078,1.0042198903523307,57.53756142027885,0.9650968238325666,55.29597482708679,0.0,0.0
0.7078682180683453,40.55786134676239,1.0036537537433143,57.50512418195436,0.9607911443529105,55.04927756496641,0.0,0.0
