distance,launchAngle,impactAngleHorizontalRadians,impactAngleHorizontalDegrees,impactVelocity,timeToTarget,timeToTargetAdjusted,rawPenetration,effectivePenetrationHorizontal,effectivePenetrationHorizontalNormalized,impactAngleDeckDegrees,effectivePenetrationDeck,effectivePenetrationDeckNormalized
31.19504569549746,0.0,-0.0005028035454656324,0.02880852107939494,779.5048252983071,0.04,0.014545454545454545,882.2081957451215,882.208084228977,882.2081957451215,89.9711914789206,0.44357738996938306,92.65700275337035
233.48087422412573,0.1,-0.0020334820238228583,0.1165099376807709,776.3011731129491,0.3,0.10909090909090909,877.2085736796754,877.2067600300207,877.2085736796754,89.88349006231923,1.783786636379426,93.46708946047993
450.39729529298876,0.2,-0.003831256932701777,0.2195148524740491,772.8807571900546,0.5800000000000002,0.21090909090909096,871.8793177360823,871.8729187906863,871.8793177360823,89.78048514752595,3.340385508550344,94.4576228930982
666.3558857719545,0.30000000000000004,-0.0056446943154655595,0.3234171609176638,769.4908601440347,0.8600000000000004,0.3127272727272729,866.6064475829288,866.5926414635913,866.6064475829288,89.67658283908234,4.891702511281832,95.4485023443435
881.3632504726997,0.4,-0.0074738002451603365,0.4282172109715272,766.1312809243943,1.1400000000000006,0.4145454545454548,861.3894373964853,861.3653798963419,861.3894373964853,89.57178278902848,6.437792654630754,96.43972522539441
1095.4259753095962,0.5,-0.009318579148223411,0.533915256251815,762.8018189828291,1.4200000000000008,0.5163636363636367,856.2277652179857,856.1905898252771,856.2277652179857,89.46608474374818,7.978710724809538,97.43128913129472
1293.356829846243,0.6000000000000001,-0.010920985442294334,0.625726373967278,759.7351232527233,1.680000000000001,0.6109090909090913,851.4810276749118,851.4302509927485,851.4810276749118,89.37427362603272,9.298827063090407,98.24658283135089
1505.6157283960108,0.7000000000000001,-0.012796006962461469,0.7331571935690586,756.4629105028164,1.9600000000000013,0.7127272727272732,846.4242072981451,846.3549124273454,846.4242072981451,89.26684280643094,10.830554482286836,99.23940194667303
1716.9490833660757,0.8,-0.014686706342060733,0.8414862883480997,753.2202410650904,2.2400000000000015,0.8145454545454551,841.4212358082372,841.3304904354479,841.4212358082372,89.1585137116519,12.357262346881347,100.23255123622197
1927.3633991219085,0.9,-0.016593081474925032,0.9507135376299155,750.006916589344,2.520000000000002,0.916363636363637,836.471606457263,836.3564560880615,836.471606457263,89.04928646237009,13.879004611742245,101.2260290711606
2121.9267174533143,1.0,-0.018252727155726064,1.0458042306269308,747.0463693531145,2.780000000000002,1.0109090909090916,831.9184674698369,831.7798894868572,831.9184674698369,88.95419576937307,15.183937651135462,102.04543207696068
2330.586064657652,1.1,-0.020189337282291955,1.1567638174414525,743.8888491017616,3.0600000000000023,1.1127272727272735,827.0699471128775,826.9013921207804,827.0699471128775,88.84323618255854,16.696859765034777,103.04012441248909
2538.3452187981793,1.2000000000000002,-0.022141608752415293,1.2686207331433206,740.7601063260328,3.3400000000000025,1.2145454545454555,822.2733235053493,822.071771646782,822.2733235053493,88.73137926685668,18.204966631495473,104.03513690542644
2730.4572436929884,1.3,-0.023843903291321952,1.3661550257108406,737.8769376145747,3.6000000000000028,1.3090909090909102,817.8599954201846,817.6275167581276,817.8599954201846,88.63384497428916,19.499126868711006,104.85765646357152
2936.4973934692225,1.4000000000000001,-0.02582637199494075,1.4797421154449693,734.802936309974,3.880000000000003,1.410909090909092,813.1617687268372,812.8905937443359,813.1617687268372,88.52025788455504,20.99868379064058,105.85385537253268
3141.655984090255,1.5,-0.027824473106776635,1.594224876193563,731.7571509995518,4.159999999999999,1.5127272727272725,808.5140270396945,808.2010709245108,808.5140270396945,88.40577512380644,22.493574113905296,106.85036791637867
3331.3667178489727,1.6,-0.029569352908183855,1.6941991245718218,728.9499306786821,4.419999999999994,1.607272727272725,804.2368300900692,803.8852648253925,804.2368300900692,88.30580087542818,23.77729736390306,107.67593421679277
3534.8418603025216,1.7000000000000002,-0.031597585269807535,1.8104082787647104,725.9578345702752,4.699999999999988,1.7090909090909046,799.6848352209022,799.285662807421,799.6848352209022,88.18959172123529,25.263905335148817,108.67360906344433
3722.997901147076,1.8,-0.0333704622577545,1.9119866477699372,723.19979745371,4.959999999999982,1.8036363636363573,795.4952328692086,795.0523470970759,795.4952328692086,88.08801335223006,26.541117027496547,109.50132207077533
3924.8127372487647,1.9000000000000001,-0.035428767759773085,2.0299188659841585,720.2607091549534,5.239999999999976,1.9054545454545369,791.037282300938,790.5408801845733,791.037282300938,87.97008113401584,28.019613613573977,110.50014259440982
4111.435301168828,2.0,-0.03722958688991077,2.133098201807468,717.5512525936647,5.499999999999971,1.9999999999999893,786.9337510193993,786.3884523375292,786.9337510193993,87.86690179819253,29.290451065963552,111.32997136458395
4311.612773931237,2.1,-0.039317895028272404,2.252749444458411,714.6644960396707,5.779999999999965,2.101818181818169,782.5681693071028,781.9633623856862,782.5681693071028,87.74725055554158,30.761006146456193,112.32992273799165
4496.722903329018,2.2,-0.04114658965008413,2.3575259283064955,712.0030210449867,6.039999999999959,2.1963636363636216,778.5492081770386,777.8902429643097,778.5492081770386,87.6424740716935,32.02560622410024,113.16183829027096
4695.285747223779,2.3000000000000003,-0.04326481748415096,2.4788914432456624,709.1679259613106,6.319999999999953,2.298181818181801,774.2743473133871,773.5497997810827,774.2743473133871,87.52110855675434,33.48838852824364,114.16290746405552
4878.904301394824,2.4000000000000004,-0.045121309308668485,2.5852605894910585,706.5538376851338,6.579999999999948,2.3927272727272535,770.3384784717404,769.554432914417,770.3384784717404,87.41473941050894,34.74688757178272,114.99688275939214
